starttime,					endtime,					Temp,	Humid,	NO2,	Noise,	CO2,	SO2,	PM2_5,	PM10
29-JUN-2016 12:20:21 UTC,	29-JUN-2016 12:20:21 UTC,	30,		31,		36,		49,		801,	21,		21,		14
26-APR-2016 17:59:34 UTC,  26-APR-2016 17:59:34 UTC,   ,29,		32,		35,		49,801,19,19,14
26-APR-2016 17:49:05 UTC,26-APR-2016 17:49:05 UTC,,30,31,35,47,800,21,19,16
20-APR-2016 17:11:20 UTC,20-APR-2016 17:11:20 UTC,,29,32,35,47,800,21,21,15
20-APR-2016 17:10:34 UTC,20-APR-2016 17:10:34 UTC,,30,33,36,49,801,20,19,14
20-APR-2016 17:10:19 UTC,20-APR-2016 17:10:19 UTC,,29,32,34,48,800,19,19,15
20-APR-2016 17:08:55 UTC,20-APR-2016 17:08:55 UTC,,29,33,34,49,800,21,20,15
20-APR-2016 17:08:27 UTC,20-APR-2016 17:08:27 UTC,,31,32,36,48,800,21,20,15
20-APR-2016 17:07:41 UTC,20-APR-2016 17:07:41 UTC,,29,32,36,48,800,20,19,15
20-APR-2016 17:04:55 UTC,20-APR-2016 17:04:55 UTC,,30,32,35,48,801,20,21,14
20-APR-2016 17:02:49 UTC,20-APR-2016 17:02:49 UTC,,29,32,36,48,800,20,20,15

19-APR-2016 08:08:03 UTC,19-APR-2016 08:08:03 UTC,,31,32,36,48,801,21,21,15
19-APR-2016 07:17:29 UTC,19-APR-2016 07:17:29 UTC,,31,32,34,49,801,20,19,16
19-APR-2016 07:17:08 UTC,19-APR-2016 07:17:08 UTC,,31,33,34,48,800,21,21,14
19-APR-2016 07:16:44 UTC,19-APR-2016 07:16:44 UTC,,30,33,36,49,800,21,21,16
18-APR-2016 09:01:13 UTC,18-APR-2016 09:01:13 UTC,,30,32,36,48,800,19,21,14
15-APR-2016 13:42:04 UTC,15-APR-2016 13:42:04 UTC,,29,33,36,47,801,21,20,16
15-APR-2016 13:25:17 UTC,15-APR-2016 13:25:17 UTC,,31,33,36,49,801,19,20,14
15-APR-2016 13:02:34 UTC,15-APR-2016 13:02:34 UTC,,29,31,36,49,799,20,20,15
